Make,Model,Vehicle Class,Engine Size(L),Cylinders,Transmission,Fuel Type,Fuel Consumption City (L/100 km),Fuel Consumption Hwy (L/100 km),Fuel Consumption Comb (L/100 km),Fuel Consumption Comb (mpg),CO2 Emissions(g/km),Country,Continent,Automatic / Manual,A/M digital
chevrolet,camaro ss,compact,6.2,8.0,m6,Z,15.0,9.9,12.7,22.0,292.0,usa,america,M,0
chevrolet,camaro,compact,6.2,8.0,m6,Z,15.0,9.9,12.7,22.0,292.0,usa,america,M,0
chevrolet,silverado,pickup truck - standard,5.3,8.0,a6,X,14.6,10.3,12.7,22.0,292.0,usa,america,A,1
chevrolet,tahoe,suv - standard,5.3,8.0,a6,X,14.9,10.1,12.7,22.0,292.0,usa,america,A,1
chevrolet,camaro,compact,6.2,8.0,as6,Z,15.3,9.8,12.8,22.0,294.0,usa,america,A,1
chevrolet,camaro ss,compact,6.2,8.0,as6,Z,15.3,9.8,12.8,22.0,294.0,usa,america,A,1
chevrolet,silverado 4wd ffv,pickup truck - standard,4.3,6.0,a6,X,14.1,10.6,12.5,23.0,294.0,usa,america,A,1
chevrolet,silverado 4wd ffv,pickup truck - standard,4.3,6.0,a6,E,20.2,15.2,18.0,16.0,294.0,usa,america,A,1
chevrolet,tahoe 4wd,suv - standard,5.3,8.0,a6,E,21.5,14.6,18.4,15.0,294.0,usa,america,A,1
chevrolet,suburban 4wd,suv - standard,5.3,8.0,a6,E,21.5,14.6,18.4,15.0,294.0,usa,america,A,1
chevrolet,suburban,suv - standard,5.3,8.0,a6,E,21.5,14.6,18.4,15.0,294.0,usa,america,A,1
chevrolet,tahoe,suv - standard,5.3,8.0,a6,E,21.5,14.6,18.4,15.0,294.0,usa,america,A,1
chevrolet,silverado 4wd ffv,pickup truck - standard,5.3,8.0,a6,E,20.5,14.4,17.8,16.0,295.0,usa,america,A,1
chevrolet,camaro ss,subcompact,6.2,8.0,m6,Z,14.9,9.9,12.6,22.0,296.0,usa,america,M,0
chevrolet,silverado 4wd ffv,pickup truck - standard,4.3,6.0,a6,X,14.2,10.7,12.6,22.0,296.0,usa,america,A,1
chevrolet,silverado 4wd ffv,pickup truck - standard,4.3,6.0,a6,E,20.2,15.2,18.0,16.0,296.0,usa,america,A,1
chevrolet,silverado 4wd,pickup truck - standard,5.3,8.0,a10,X,14.3,10.6,12.6,22.0,296.0,usa,america,A,1
chevrolet,camaro ss,subcompact,6.2,8.0,m6,Z,14.9,9.9,12.6,22.0,297.0,usa,america,M,0
chevrolet,silverado,pickup truck - standard,5.3,8.0,a6,X,14.6,10.3,12.7,22.0,297.0,usa,america,A,1
chevrolet,corvette,two-seater,6.2,8.0,as8,Z,15.5,9.2,12.7,22.0,297.0,usa,america,A,1
chevrolet,suburban ffv,suv - standard,5.3,8.0,a6,E,21.2,13.9,17.9,16.0,298.0,usa,america,A,1
chevrolet,silverado ffv,pickup truck - standard,5.3,8.0,a6,X,14.6,10.4,12.7,22.0,298.0,usa,america,A,1
chevrolet,tahoe ffv,suv - standard,5.3,8.0,a6,E,21.2,13.9,17.9,16.0,298.0,usa,america,A,1
chevrolet,silverado,pickup truck - standard,5.3,8.0,a6,X,14.6,10.4,12.7,22.0,298.0,usa,america,A,1
chevrolet,silverado ffv,pickup truck - standard,5.3,8.0,a6,X,14.6,10.3,12.7,22.0,298.0,usa,america,A,1
chevrolet,silverado,pickup truck - standard,5.3,8.0,a6,X,14.6,10.3,12.7,22.0,298.0,usa,america,A,1
chevrolet,silverado 4wd,pickup truck - standard,5.3,8.0,a6,X,14.9,10.7,13.0,22.0,299.0,usa,america,A,1
chevrolet,silverado 4wd,pickup truck - standard,5.3,8.0,a6,X,14.9,10.6,13.0,22.0,299.0,usa,america,A,1
chevrolet,tahoe 4wd ffv,suv - standard,5.3,8.0,a6,E,20.8,14.5,18.0,16.0,299.0,usa,america,A,1
chevrolet,corvette,two-seater,6.2,8.0,as8,Z,15.6,9.2,12.7,22.0,299.0,usa,america,A,1
chevrolet,tahoe 4wd,suv - standard,5.3,8.0,a6,X,15.1,10.4,13.0,22.0,299.0,usa,america,A,1
chevrolet,equinox awd,suv - small,3.6,6.0,a6,X,14.9,10.1,12.8,22.0,300.0,usa,america,A,1
chevrolet,tahoe 4wd ffv,suv - standard,5.3,8.0,a6,E,20.9,14.5,18.0,16.0,300.0,usa,america,A,1
chevrolet,silverado 4wd ffv,pickup truck - standard,4.3,6.0,a6,E,20.3,15.3,18.1,16.0,301.0,usa,america,A,1
chevrolet,silverado 4wd,pickup truck - standard,5.3,8.0,a8,X,14.7,10.7,12.9,22.0,303.0,usa,america,A,1
chevrolet,silverado eassist 4wd,pickup truck - standard,5.3,8.0,a8,X,14.4,11.2,13.0,22.0,303.0,usa,america,A,1
chevrolet,suburban,suv - standard,5.3,8.0,a6,X,15.1,10.4,13.0,22.0,304.0,usa,america,A,1
chevrolet,suburban ffv,suv - standard,5.3,8.0,a6,X,15.1,10.4,13.0,22.0,304.0,usa,america,A,1
chevrolet,tahoe,suv - standard,5.3,8.0,a6,X,15.1,10.4,13.0,22.0,304.0,usa,america,A,1
chevrolet,equinox awd,suv - small,3.6,6.0,a6,X,15.0,10.4,13.0,22.0,304.0,usa,america,A,1
chevrolet,tahoe ffv,suv - standard,5.3,8.0,a6,X,15.1,10.4,13.0,22.0,304.0,usa,america,A,1
chevrolet,silverado eassist 4wd,pickup truck - standard,5.3,8.0,a8,X,14.4,11.2,13.0,22.0,304.0,usa,america,A,1
chevrolet,tahoe,suv - standard,5.3,8.0,a6,X,15.1,10.4,13.0,22.0,305.0,usa,america,A,1
chevrolet,suburban ffv,suv - standard,5.3,8.0,a6,X,15.1,10.4,13.0,22.0,305.0,usa,america,A,1
chevrolet,suburban,suv - standard,5.3,8.0,a6,X,15.1,10.4,13.0,22.0,305.0,usa,america,A,1
chevrolet,tahoe 4wd ffv,suv - standard,5.3,8.0,a6,E,21.7,14.3,18.4,15.0,305.0,usa,america,A,1
chevrolet,tahoe ffv,suv - standard,5.3,8.0,a6,X,15.1,10.4,13.0,22.0,305.0,usa,america,A,1
chevrolet,silverado 4wd,pickup truck - standard,5.3,8.0,a8,X,14.9,10.8,13.1,22.0,306.0,usa,america,A,1
chevrolet,suburban 4wd,suv - standard,5.3,8.0,a6,X,15.4,10.8,13.3,21.0,306.0,usa,america,A,1
chevrolet,silverado ffv,pickup truck - standard,5.3,8.0,a6,E,21.1,15.0,18.4,15.0,306.0,usa,america,A,1
chevrolet,suburban 4wd,suv - standard,5.3,8.0,a6,E,22.1,15.4,19.1,15.0,306.0,usa,america,A,1
chevrolet,silverado 4wd ffv,pickup truck - standard,5.3,8.0,a6,X,15.0,10.7,13.1,22.0,306.0,usa,america,A,1
chevrolet,silverado 4wd,pickup truck - standard,5.3,8.0,a6,X,15.0,10.7,13.1,22.0,307.0,usa,america,A,1
chevrolet,silverado 4wd ffv,pickup truck - standard,5.3,8.0,a6,X,15.0,10.7,13.1,22.0,307.0,usa,america,A,1
chevrolet,silverado,pickup truck - standard,5.3,8.0,a8,X,14.9,10.9,13.1,22.0,307.0,usa,america,A,1
chevrolet,silverado 4wd lt trail boss,pickup truck - standard,5.3,8.0,a10,X,14.7,11.2,13.1,22.0,307.0,usa,america,A,1
chevrolet,corvette z06,two-seater,6.2,8.0,m7,Z,15.7,10.6,13.4,21.0,308.0,usa,america,M,0
chevrolet,silverado 4wd ffv,pickup truck - standard,5.3,8.0,a6,E,21.0,15.0,18.3,15.0,309.0,usa,america,A,1
chevrolet,silverado,pickup truck - standard,5.3,8.0,a8,X,15.2,10.7,13.1,22.0,309.0,usa,america,A,1
chevrolet,tahoe 4wd ffv,suv - standard,5.3,8.0,a6,X,15.2,10.8,13.2,21.0,310.0,usa,america,A,1
chevrolet,tahoe 4wd,suv - standard,5.3,8.0,a6,X,15.2,10.8,13.2,21.0,310.0,usa,america,A,1
chevrolet,suburban 4wd,suv - standard,5.3,8.0,a6,X,15.4,10.8,13.3,21.0,312.0,usa,america,A,1
chevrolet,suburban 4wd ffv,suv - standard,5.3,8.0,a6,X,15.4,10.8,13.3,21.0,312.0,usa,america,A,1
chevrolet,corvette z06,two-seater,6.2,8.0,m7,Z,15.6,10.6,13.4,21.0,312.0,usa,america,M,0
chevrolet,suburban 4wd ffv,suv - standard,5.3,8.0,a6,X,15.3,10.9,13.3,21.0,312.0,usa,america,A,1
chevrolet,corvette z06,two-seater,6.2,8.0,m7,Z,15.7,10.6,13.4,21.0,313.0,usa,america,M,0
chevrolet,suburban 4wd,suv - standard,5.3,8.0,a6,X,15.3,10.9,13.3,21.0,313.0,usa,america,A,1
chevrolet,tahoe,suv - standard,5.3,8.0,a6,X,15.7,10.5,13.4,21.0,314.0,usa,america,A,1
chevrolet,tahoe ffv,suv - standard,5.3,8.0,a6,X,15.7,10.5,13.4,21.0,314.0,usa,america,A,1
chevrolet,suburban ffv,suv - standard,5.3,8.0,a6,X,15.7,10.5,13.4,21.0,314.0,usa,america,A,1
chevrolet,suburban,suv - standard,5.3,8.0,a6,X,15.7,10.5,13.4,21.0,314.0,usa,america,A,1
chevrolet,traverse,suv - standard,3.6,6.0,a6,X,15.8,10.6,13.4,21.0,315.0,usa,america,A,1
chevrolet,colorado zr2 4wd,pickup truck - small,2.8,4.0,a6,D,12.5,10.7,11.7,24.0,315.0,usa,america,A,1
chevrolet,silverado 4wd ffv,pickup truck - standard,5.3,8.0,a6,E,20.7,14.4,17.9,16.0,315.0,usa,america,A,1
chevrolet,traverse,suv - standard,3.6,6.0,a6,X,15.7,10.6,13.4,21.0,315.0,usa,america,A,1
chevrolet,silverado,pickup truck - standard,4.3,6.0,a6,X,15.1,11.5,13.5,21.0,316.0,usa,america,A,1
chevrolet,suburban 4wd,suv - standard,5.3,8.0,a6,X,16.0,11.1,13.8,20.0,317.0,usa,america,A,1
chevrolet,tahoe,suv - standard,5.3,8.0,a6,X,16.0,11.1,13.8,20.0,317.0,usa,america,A,1
chevrolet,tahoe 4wd,suv - standard,5.3,8.0,a6,X,16.0,11.1,13.8,20.0,317.0,usa,america,A,1
chevrolet,suburban,suv - standard,5.3,8.0,a6,X,16.0,11.1,13.8,20.0,317.0,usa,america,A,1
chevrolet,suburban 4wd ffv,suv - standard,5.3,8.0,a6,E,22.2,15.3,19.1,15.0,317.0,usa,america,A,1
chevrolet,suburban 4wd ffv,suv - standard,5.3,8.0,a6,E,22.2,15.2,19.0,15.0,317.0,usa,america,A,1
chevrolet,silverado ld,pickup truck - standard,5.3,8.0,a6,X,15.6,10.9,13.5,21.0,317.0,usa,america,A,1
chevrolet,suburban 4wd ffv,suv - standard,5.3,8.0,a6,E,22.1,15.4,19.1,15.0,317.0,usa,america,A,1
chevrolet,corvette z06,two-seater,6.2,8.0,m7,Z,15.9,10.6,13.5,21.0,318.0,usa,america,M,0
chevrolet,silverado,pickup truck - standard,4.3,6.0,a6,X,15.1,11.5,13.5,21.0,318.0,usa,america,A,1
chevrolet,suburban 4wd ffv,suv - standard,5.3,8.0,a6,E,22.2,15.3,19.1,15.0,319.0,usa,america,A,1
chevrolet,silverado 4wd trail boss,pickup truck - standard,5.3,8.0,a8,X,15.3,11.8,13.7,21.0,320.0,usa,america,A,1
chevrolet,silverado 4wd,pickup truck - standard,6.2,8.0,a10,Z,15.0,12.0,13.7,21.0,321.0,usa,america,A,1
chevrolet,tahoe 4wd,suv - standard,5.3,8.0,a6,X,15.8,11.1,13.7,21.0,321.0,usa,america,A,1
chevrolet,suburban 4wd ffv,suv - standard,5.3,8.0,a6,E,22.3,15.7,19.3,15.0,321.0,usa,america,A,1
chevrolet,tahoe 4wd ffv,suv - standard,5.3,8.0,a6,X,15.8,11.1,13.7,21.0,321.0,usa,america,A,1
chevrolet,traverse awd,suv - standard,3.6,6.0,a6,X,16.0,10.9,13.7,21.0,322.0,usa,america,A,1
chevrolet,silverado 4wd ffv,pickup truck - standard,5.3,8.0,a6,E,22.0,16.1,19.3,15.0,322.0,usa,america,A,1
chevrolet,silverado,pickup truck - standard,6.2,8.0,a8,Z,16.1,11.4,14.0,20.0,322.0,usa,america,A,1
chevrolet,traverse awd,suv - standard,3.6,6.0,a6,X,16.1,10.8,13.7,21.0,323.0,usa,america,A,1
chevrolet,silverado 4wd,pickup truck - standard,5.3,8.0,a8,X,15.6,11.6,13.8,20.0,324.0,usa,america,A,1
chevrolet,silverado,pickup truck - standard,6.2,8.0,a8,Z,15.9,11.2,13.8,20.0,324.0,usa,america,A,1
chevrolet,silverado,pickup truck - standard,6.2,8.0,a6,Z,16.3,11.4,14.1,20.0,324.0,usa,america,A,1
chevrolet,tahoe 4wd,suv - standard,5.3,8.0,a6,X,16.0,11.2,13.8,20.0,325.0,usa,america,A,1
chevrolet,tahoe 4wd ffv,suv - standard,5.3,8.0,a6,X,16.0,11.2,13.8,20.0,325.0,usa,america,A,1
chevrolet,silverado ld 4wd,pickup truck - standard,5.3,8.0,a6,X,15.8,11.4,13.8,20.0,325.0,usa,america,A,1
chevrolet,tahoe 4wd,suv - standard,6.2,8.0,a10,Z,16.4,10.7,13.8,20.0,325.0,usa,america,A,1
chevrolet,colorado zr2 4wd,pickup truck - small,2.8,4.0,a6,D,13.3,10.6,12.1,23.0,326.0,usa,america,A,1
chevrolet,silverado,pickup truck - standard,5.3,8.0,a6,X,15.9,11.4,13.9,20.0,326.0,usa,america,A,1
chevrolet,silverado ffv,pickup truck - standard,5.3,8.0,a6,E,22.2,16.2,19.5,14.0,326.0,usa,america,A,1
chevrolet,silverado 4wd,pickup truck - standard,6.2,8.0,a8,Z,16.3,11.6,14.2,20.0,327.0,usa,america,A,1
chevrolet,tahoe 4wd,suv - standard,6.2,8.0,a10,Z,16.5,10.9,13.9,20.0,327.0,usa,america,A,1
chevrolet,silverado 4wd,pickup truck - standard,5.3,8.0,a8,X,15.9,11.5,13.9,20.0,327.0,usa,america,A,1
chevrolet,silverado,pickup truck - standard,6.2,8.0,a8,Z,16.1,11.4,14.0,20.0,328.0,usa,america,A,1
chevrolet,silverado 4wd,pickup truck - standard,4.3,6.0,a6,X,15.8,11.9,14.0,20.0,329.0,usa,america,A,1
chevrolet,corvette z06,two-seater,6.2,8.0,as8,Z,17.7,10.2,14.3,20.0,329.0,usa,america,A,1
chevrolet,silverado ffv,pickup truck - standard,5.3,8.0,a6,X,15.7,11.9,14.0,20.0,329.0,usa,america,A,1
chevrolet,silverado 4wd,pickup truck - standard,5.3,8.0,a6,X,15.9,11.7,14.0,20.0,329.0,usa,america,A,1
chevrolet,silverado 4wd,pickup truck - standard,6.2,8.0,a6,Z,16.4,11.7,14.3,20.0,329.0,usa,america,A,1
chevrolet,silverado 4wd,pickup truck - standard,6.2,8.0,a8,Z,16.0,11.7,14.1,20.0,330.0,usa,america,A,1
chevrolet,colorado zr2 4wd,pickup truck - small,3.6,6.0,a8,X,15.0,13.0,14.1,20.0,331.0,usa,america,A,1
chevrolet,silverado 4wd,pickup truck - standard,6.2,8.0,a8,Z,16.0,11.7,14.1,20.0,331.0,usa,america,A,1
chevrolet,corvette z06,two-seater,6.2,8.0,as8,Z,17.2,10.1,14.0,20.0,331.0,usa,america,A,1
chevrolet,silverado 4wd,pickup truck - standard,5.3,8.0,a6,X,15.9,11.8,14.1,20.0,331.0,usa,america,A,1
chevrolet,silverado 4wd,pickup truck - standard,4.3,6.0,a6,X,15.7,12.0,14.1,20.0,331.0,usa,america,A,1
chevrolet,silverado 4wd,pickup truck - standard,6.2,8.0,a8,Z,16.3,11.6,14.2,20.0,332.0,usa,america,A,1
chevrolet,silverado 4wd lt trail boss,pickup truck - standard,6.2,8.0,a10,Z,15.7,12.4,14.2,20.0,332.0,usa,america,A,1
chevrolet,express 1500 cargo,van - cargo,5.3,8.0,a4,E,23.5,17.7,20.9,14.0,334.0,usa,america,A,1
chevrolet,corvette z06,two-seater,6.2,8.0,as8,Z,17.7,10.2,14.3,20.0,335.0,usa,america,A,1
chevrolet,suburban 4wd,suv - standard,5.3,8.0,a6,X,16.8,11.3,14.3,20.0,336.0,usa,america,A,1
chevrolet,suburban 4wd ffv,suv - standard,5.3,8.0,a6,X,16.8,11.3,14.3,20.0,336.0,usa,america,A,1
chevrolet,corvette z06,two-seater,6.2,8.0,as8,Z,17.6,10.3,14.3,20.0,336.0,usa,america,A,1
chevrolet,suburban 4wd,suv - standard,5.3,8.0,a6,X,16.8,11.3,14.4,20.0,337.0,usa,america,A,1
chevrolet,suburban 4wd ffv,suv - standard,5.3,8.0,a6,X,16.8,11.3,14.4,20.0,337.0,usa,america,A,1
chevrolet,camaro zl1,compact,6.2,8.0,m6,Z,16.6,12.4,14.7,19.0,338.0,usa,america,M,0
chevrolet,silverado ffv,pickup truck - standard,5.3,8.0,a6,X,16.0,12.6,14.4,20.0,339.0,usa,america,A,1
chevrolet,silverado 4wd ffv,pickup truck - standard,5.3,8.0,a6,X,16.1,12.5,14.4,20.0,339.0,usa,america,A,1
chevrolet,camaro zl1,compact,6.2,8.0,m6,Z,16.7,12.5,14.8,19.0,340.0,usa,america,M,0
chevrolet,suburban 4wd,suv - standard,6.2,8.0,a10,Z,17.1,11.3,14.5,19.0,340.0,usa,america,A,1
chevrolet,silverado 4wd ffv,pickup truck - standard,5.3,8.0,a6,E,22.3,18.1,20.5,14.0,342.0,usa,america,A,1
chevrolet,suburban 4wd,suv - standard,6.2,8.0,a10,Z,17.2,11.4,14.6,19.0,343.0,usa,america,A,1
chevrolet,express 1500 cargo awd,van - cargo,5.3,8.0,a4,E,23.7,18.8,21.5,13.0,344.0,usa,america,A,1
chevrolet,express 1500 passenger,van - passenger,5.3,8.0,a4,E,23.9,18.5,21.5,13.0,344.0,usa,america,A,1
chevrolet,express 1500 cargo conv,van - cargo,5.3,8.0,a4,E,23.9,18.5,21.5,13.0,344.0,usa,america,A,1
chevrolet,silverado 4wd trail boss,pickup truck - standard,4.3,6.0,a6,X,16.3,12.9,14.8,19.0,347.0,usa,america,A,1
chevrolet,express 1500 cargo,van - cargo,4.3,6.0,a4,X,17.1,12.7,15.1,19.0,347.0,usa,america,A,1
chevrolet,camaro zl1,subcompact,6.2,8.0,m6,Z,17.1,12.0,14.8,19.0,348.0,usa,america,M,0
chevrolet,silverado 4wd custom trail boss,pickup truck - standard,4.3,6.0,a6,X,16.3,12.9,14.8,19.0,349.0,usa,america,A,1
chevrolet,camaro zl1,subcompact,6.2,8.0,m6,Z,17.2,12.0,14.8,19.0,349.0,usa,america,M,0
chevrolet,camaro zl1,subcompact,6.2,8.0,m6,Z,17.2,12.0,14.9,19.0,349.0,usa,america,M,0
chevrolet,silverado 4wd trail boss,pickup truck - standard,5.3,8.0,a6,X,16.5,13.0,14.9,19.0,350.0,usa,america,A,1
chevrolet,silverado 4wd ffv,pickup truck - standard,5.3,8.0,a6,X,16.6,13.0,15.0,19.0,350.0,usa,america,A,1
chevrolet,silverado 4wd custom trail boss,pickup truck - standard,5.3,8.0,a6,X,16.7,13.1,15.1,19.0,354.0,usa,america,A,1
chevrolet,camaro zl1,subcompact,6.2,8.0,as10,Z,18.3,11.2,15.1,19.0,355.0,usa,america,A,1
chevrolet,silverado 4wd custom trail boss,pickup truck - standard,6.2,8.0,a10,Z,16.8,13.3,15.2,19.0,357.0,usa,america,A,1
chevrolet,camaro z/28,compact,6.2,8.0,m6,Z,18.1,12.3,15.5,18.0,357.0,usa,america,M,0
chevrolet,camaro zl1,subcompact,6.2,8.0,as10,Z,18.8,11.3,15.4,18.0,361.0,usa,america,A,1
chevrolet,express 1500 cargo conv awd,van - cargo,5.3,8.0,a4,E,25.3,19.3,22.6,12.0,362.0,usa,america,A,1
chevrolet,express 1500 passenger awd,van - passenger,5.3,8.0,a4,E,25.3,19.3,22.6,12.0,362.0,usa,america,A,1
chevrolet,express 1500 cargo,van - cargo,5.3,8.0,a4,X,18.0,13.4,15.9,18.0,366.0,usa,america,A,1
chevrolet,camaro zl1,subcompact,6.2,8.0,as10,Z,19.0,11.6,15.6,18.0,367.0,usa,america,A,1
chevrolet,corvette zr1,two-seater,6.2,8.0,m7,Z,18.2,12.5,15.6,18.0,368.0,usa,america,M,0
chevrolet,express 1500 cargo conv,van - cargo,5.3,8.0,a4,X,18.6,13.9,16.5,17.0,380.0,usa,america,A,1
chevrolet,express 1500 passenger,van - passenger,5.3,8.0,a4,X,18.6,13.9,16.5,17.0,380.0,usa,america,A,1
chevrolet,express 1500 cargo conv awd,van - cargo,5.3,8.0,a4,X,18.3,14.2,16.5,17.0,380.0,usa,america,A,1
chevrolet,express 1500 passenger awd,van - passenger,5.3,8.0,a4,X,18.3,14.2,16.5,17.0,380.0,usa,america,A,1
chevrolet,express 1500 cargo awd,van - cargo,5.3,8.0,a4,X,18.3,14.2,16.5,17.0,380.0,usa,america,A,1
chevrolet,corvette zr1,two-seater,6.2,8.0,as8,Z,19.5,12.0,16.1,18.0,381.0,usa,america,A,1
chevrolet,camaro zl1,compact,6.2,8.0,as6,Z,19.7,12.9,16.6,17.0,382.0,usa,america,A,1
chevrolet,camaro zl1,compact,6.2,8.0,as6,Z,19.9,13.0,16.8,17.0,386.0,usa,america,A,1
chevrolet,express 2500 passenger,van - passenger,6.0,8.0,a6,E,30.0,20.4,25.7,11.0,411.0,usa,america,A,1
chevrolet,express 3500 passenger,van - passenger,6.0,8.0,a6,E,30.2,20.5,25.8,11.0,413.0,usa,america,A,1
chevrolet,express 2500 passenger,van - passenger,4.8,8.0,a6,X,21.1,14.2,18.0,16.0,414.0,usa,america,A,1
chevrolet,express 2500 passenger,van - passenger,4.8,8.0,a6,X,21.0,14.2,18.0,16.0,414.0,usa,america,A,1
chevrolet,express 2500 passenger ffv,van - passenger,6.0,8.0,a6,E,30.3,20.5,25.9,11.0,414.0,usa,america,A,1
chevrolet,express 3500 passenger,van - passenger,4.8,8.0,a6,X,21.3,14.3,18.1,16.0,416.0,usa,america,A,1
chevrolet,express 3500 passenger ffv,van - passenger,6.0,8.0,a6,E,30.6,20.6,26.1,11.0,418.0,usa,america,A,1
chevrolet,express 3500 passenger,van - passenger,4.8,8.0,a6,X,21.3,14.3,18.2,16.0,419.0,usa,america,A,1
chevrolet,express 2500 passenger,van - passenger,6.0,8.0,a6,X,21.9,15.0,18.8,15.0,432.0,usa,america,A,1
chevrolet,express 2500 passenger,van - passenger,6.0,8.0,a6,X,22.0,14.9,18.8,15.0,432.0,usa,america,A,1
chevrolet,express 2500 passenger ffv,van - passenger,6.0,8.0,a6,X,22.0,14.9,18.8,15.0,432.0,usa,america,A,1
chevrolet,express 3500 passenger,van - passenger,6.0,8.0,a6,X,22.1,15.0,18.9,15.0,435.0,usa,america,A,1
chevrolet,express 3500 passenger ffv,van - passenger,6.0,8.0,a6,X,22.2,15.1,19.0,15.0,437.0,usa,america,A,1
chevrolet,express 3500 passenger,van - passenger,6.0,8.0,a6,X,22.2,15.1,19.0,15.0,437.0,usa,america,A,1
chevrolet,express 2500 passenger,van - passenger,6.0,8.0,a6,X,21.8,14.8,18.6,15.0,438.0,usa,america,A,1
chevrolet,express 2500 passenger,van - passenger,6.0,8.0,a6,X,22.0,14.9,18.8,15.0,441.0,usa,america,A,1
chevrolet,express 3500 passenger,van - passenger,6.0,8.0,a6,X,22.3,14.9,19.0,15.0,445.0,usa,america,A,1
chevrolet,express 3500 passenger,van - passenger,6.0,8.0,a6,X,23.0,16.0,19.8,14.0,465.0,usa,america,A,1
chrysler,200 ffv,mid-size,2.4,4.0,a9,E,13.6,8.5,11.3,25.0,181.0,usa,america,A,1
chrysler,200 ffv,mid-size,2.4,4.0,a9,E,13.6,8.5,11.3,25.0,186.0,usa,america,A,1
chrysler,200 ffv,mid-size,2.4,4.0,a9,E,13.9,8.9,11.7,24.0,192.0,usa,america,A,1
chrysler,200,mid-size,2.4,4.0,a9,X,10.2,6.4,8.5,33.0,196.0,usa,america,A,1
chrysler,200 ffv,mid-size,2.4,4.0,a9,X,10.2,6.4,8.5,33.0,196.0,usa,america,A,1
chrysler,200 ffv,mid-size,2.4,4.0,a9,X,10.2,6.4,8.5,33.0,198.0,usa,america,A,1
chrysler,200 ffv,mid-size,2.4,4.0,a9,X,10.2,6.6,8.6,33.0,201.0,usa,america,A,1
chrysler,200 ffv,mid-size,3.6,6.0,a9,E,16.5,10.1,13.6,21.0,218.0,usa,america,A,1
chrysler,300 ffv,full-size,3.6,6.0,a8,E,16.8,10.3,13.9,20.0,222.0,usa,america,A,1
chrysler,200 sedan,mid-size,2.4,4.0,a4,X,11.2,8.0,9.8,29.0,225.0,usa,america,A,1
chrysler,200 ffv,mid-size,3.6,6.0,a9,E,16.5,10.1,13.6,21.0,225.0,usa,america,A,1
chrysler,200 awd ffv,mid-size,3.6,6.0,a9,E,16.9,10.8,14.1,20.0,226.0,usa,america,A,1
chrysler,300 ffv,full-size,3.6,6.0,a8,E,16.8,10.3,13.9,20.0,229.0,usa,america,A,1
chrysler,200 sedan ffv,mid-size,3.6,6.0,a6,E,17.0,11.2,14.4,20.0,230.0,usa,america,A,1
chrysler,200 convertible ffv,compact,3.6,6.0,a6,E,17.0,11.2,14.4,20.0,230.0,usa,america,A,1
chrysler,200 sedan,mid-size,2.4,4.0,a6,X,12.0,7.6,10.0,28.0,230.0,usa,america,A,1
chrysler,200 ffv,mid-size,3.6,6.0,a9,E,16.8,10.4,13.9,20.0,230.0,usa,america,A,1
chrysler,200 awd ffv,mid-size,3.6,6.0,a9,E,16.9,10.8,14.1,20.0,232.0,usa,america,A,1
chrysler,200 convertible,compact,2.4,4.0,a4,X,11.7,8.2,10.1,28.0,232.0,usa,america,A,1
chrysler,300 ffv,full-size,3.6,6.0,a8,E,17.1,10.6,14.2,20.0,234.0,usa,america,A,1
chrysler,200,mid-size,3.6,6.0,a9,X,12.4,7.5,10.2,28.0,235.0,usa,america,A,1
chrysler,200 ffv,mid-size,3.6,6.0,a9,X,12.4,7.5,10.2,28.0,235.0,usa,america,A,1
chrysler,300 ffv,full-size,3.6,6.0,a8,X,12.4,7.7,10.3,27.0,237.0,usa,america,A,1
chrysler,300 awd ffv,full-size,3.6,6.0,a8,E,17.3,11.7,14.8,19.0,237.0,usa,america,A,1
chrysler,200 awd ffv,mid-size,3.6,6.0,a9,E,17.1,11.1,14.4,20.0,237.0,usa,america,A,1
chrysler,300,full-size,3.6,6.0,a8,X,12.4,7.7,10.3,27.0,237.0,usa,america,A,1
chrysler,200 ffv,mid-size,3.6,6.0,a9,X,12.4,7.5,10.2,28.0,239.0,usa,america,A,1
chrysler,300 ffv,full-size,3.6,6.0,a8,X,12.4,7.7,10.3,27.0,240.0,usa,america,A,1
chrysler,300,full-size,3.6,6.0,a8,X,12.4,7.7,10.3,27.0,240.0,usa,america,A,1
chrysler,200 ffv,mid-size,3.6,6.0,a9,X,12.4,7.6,10.2,28.0,241.0,usa,america,A,1
chrysler,200 sedan ffv,mid-size,3.6,6.0,a6,X,12.5,8.1,10.5,27.0,242.0,usa,america,A,1
chrysler,200 convertible ffv,compact,3.6,6.0,a6,X,12.5,8.1,10.5,27.0,242.0,usa,america,A,1
chrysler,300,full-size,3.6,6.0,a8,X,12.4,7.8,10.3,27.0,242.0,usa,america,A,1
chrysler,300 ffv,full-size,3.6,6.0,a8,X,12.4,7.8,10.3,27.0,242.0,usa,america,A,1
chrysler,300 awd ffv,full-size,3.6,6.0,a8,E,17.3,11.7,14.8,19.0,243.0,usa,america,A,1
chrysler,200 convertible,compact,2.4,4.0,a6,X,12.9,8.1,10.7,26.0,246.0,usa,america,A,1
chrysler,200 awd,mid-size,3.6,6.0,a9,X,12.8,8.1,10.7,26.0,246.0,usa,america,A,1
chrysler,200 awd ffv,mid-size,3.6,6.0,a9,X,12.8,8.1,10.7,26.0,246.0,usa,america,A,1
