,1990,1992,1994,1996,1998,2000,2002,2004,2006,2008
Connor,221,80,59,53,47,50,47,38,53,57
Conor,459,290,304,318,333,365,388,451,496,517
Conrad,621,624,610,673,613,709,744,740,788,758
Constance,506,654,836,843,937,,,,,
Cooper,706,546,438,362,254,240,195,133,113,92
Cora,852,808,654,675,536,482,466,437,384,322
Coral,,990,,,,,,,,
Corbin,426,393,400,419,322,292,292,270,289,262
Cordell,749,917,709,595,531,640,869,991,,784
Corey,671,790,870,94,115,149,181,212,234,289
Cori,705,694,692,867,983,,,,,
Corina,646,581,582,761,945,,,,,
Corinne,406,394,492,587,600,546,657,747,826,841
Cornelius,487,542,629,675,702,791,862,967,939,988
Cornell,962,,,,,,,,,
Corrine,877,991,,,,,,,,
Cortez,533,592,624,732,760,741,969,915,938,990
Cortney,931,319,424,509,646,824,,,,
Cory,970,83,102,143,164,227,275,349,431,459
Coty,447,406,605,784,,,,,,
Courtney,356,489,567,657,709,859,88,121,190,269
Coy,,998,,,,,,,,
Craig,116,154,198,247,315,339,379,479,548,588
Cristal,518,439,461,463,522,535,626,562,660,759
Cristian,417,272,138,130,144,160,145,139,132,150
Cristina,165,186,220,246,315,338,343,441,495,603
Cristobal,923,,909,950,,810,985,,991,
Cristofer,,,,,,,,992,804,829
Cristopher,743,767,808,751,715,606,633,582,499,492
Cruz,717,801,725,715,659,647,640,561,500,367
Crystal,39,50,65,92,110,132,154,165,201,252
Cullen,788,600,600,518,535,569,618,707,790,781
Curtis,120,142,170,191,226,265,291,322,339,380
Cydney,,,939,926,920,946,,,,
Cynthia,88,92,105,101,126,164,176,223,240,310
Cyrus,829,729,765,733,554,541,470,515,515,512
Dahlia,,,,,,,,,988,745
Daija,,,,808,846,958,,,,
Daijah,,,,976,,,,,,
Daisha,,,,698,877,933,,,,
Daisy,193,187,177,125,136,141,138,143,149,161
Daja,,,,830,,,,,,
Dakoda,,,950,932,,,,,,
Dakota,597,346,69,58,72,88,323,276,191,267
Dakotah,,883,728,835,841,,,,,
Dale,285,340,365,412,467,536,495,603,745,839
Dalia,,,485,687,786,,894,824,849,920
Dallas,391,646,527,536,756,901,341,359,352,334
Dallin,,,850,779,745,744,739,911,,
Dalton,193,121,85,99,88,91,117,167,199,218
Dalvin,,931,912,975,,,,,,
Damari,,,,,,,,,,997
Damarion,,,,,,,,690,646,725
Damaris,,974,906,877,704,734,724,714,609,808
Damian,322,262,215,214,207,205,163,159,136,133
Damien,332,308,278,313,300,258,212,196,196,189
Damion,675,580,496,486,435,434,432,466,497,597
Damon,321,284,293,279,272,289,290,314,386,472
Dan,660,715,799,828,951,945,,,,
Dana,532,627,745,861,214,311,337,428,395,467
Danae,974,951,,,,,,,,
Dandre,747,682,625,537,582,565,719,810,992,
Dane,336,410,436,435,482,424,458,468,393,350
Dangelo,839,,,389,623,530,740,753,863,970
Dania,,,,764,,,950,977,985,989
Danica,639,772,776,,,,,,352,336
Daniel,5,7,8,11,12,9,10,7,6,5
Daniela,381,285,238,253,195,156,113,118,132,121
Daniella,500,483,432,434,395,364,334,325,307,303
Danielle,18,18,20,29,41,48,71,91,116,144
Danika,886,940,991,,,,,,569,486
Danna,,,,,,,836,638,518,424
Danny,162,190,231,245,270,287,270,304,307,330
Dante,366,360,322,283,201,247,257,271,291,291
Danyelle,946,897,956,,,,,,,
Daphne,764,891,744,834,760,632,569,590,606,536
Daquan,709,605,374,441,517,580,667,826,,
Dara,882,896,,,,,,,,
Darby,,,666,543,686,868,951,,,
Darcy,782,933,986,,,,,,,
Daren,886,,,,,,,,,
Daria,,,,,741,,,,,
Darian,631,704,357,498,543,869,480,547,590,602
Dariana,,,,,,836,,,,
Darien,841,616,383,548,572,556,610,742,830,843
Darin,530,601,647,686,780,780,782,978,,
Dario,783,873,805,960,910,807,845,845,875,850
Darion,859,749,526,617,614,655,713,860,869,890
Darius,152,164,155,182,162,220,237,286,280,318
Darlene,484,601,636,744,832,825,895,996,,
Darnell,353,419,467,507,555,656,692,708,711,730
Daron,849,841,868,984,,,,,,
Darrel,772,944,,,,,,,,
Darrell,245,293,332,383,432,470,546,557,597,634
Darren,200,227,201,253,280,297,302,337,361,385
Darrian,,,766,895,934,,,,,
Darrick,818,,972,,,,,,,
Darrien,,,923,,980,,,,,
Darrin,509,566,591,671,739,862,937,986,,
Darrion,,,700,758,842,868,942,,,
Darrius,569,590,580,646,633,676,786,927,930,
Darryl,255,321,372,431,509,551,603,698,773,754
Darwin,910,956,943,,,,903,819,772,788
Daryl,440,488,549,609,693,738,898,,,
Dashawn,731,586,528,574,573,602,606,652,690,810
Dasia,,,,765,765,827,794,974,,
Daulton,,,792,,,,,,,
Davante,,802,,,,,,,,
Dave,924,976,,,,,,,,
Davian,,,,,,,,811,682,690
David,6,10,13,13,13,16,13,14,13,14
Davin,969,847,863,893,835,747,634,592,601,594
Davion,,853,722,687,569,475,435,437,478,440
Davis,597,513,424,409,375,381,391,376,405,410
Davon,479,449,403,464,481,499,592,620,603,712
Davonta,,918,,,,,,,,
Davonte,,491,582,679,689,855,,,,
Dawn,359,413,583,792,807,913,,,,
Dawson,,,854,759,175,168,193,206,233,269
Dax,,,,,,,,,,766
Dayami,,,,,,,,,,750
Dayana,,,752,,,881,764,626,553,410
Dayanara,,,,,,,,426,435,558
Dayna,640,752,779,878,,965,,,,
Dayne,,,,,,994,,,,
Dayton,876,984,751,623,558,562,499,508,540,484
Deacon,,,,,,,,898,687,642
Dean,286,315,314,312,346,378,372,373,385,345
Deana,884,,,,,,,,,
Deandre,276,277,250,269,287,293,365,416,452,460
Deangelo,454,534,650,490,636,649,820,878,794,739
Deanna,158,155,165,210,245,304,349,451,532,592
Deante,,900,,,,,,,,
Deasia,,,,,958,909,954,,,
Debbie,744,,,,,,,,,
Deborah,262,300,355,410,466,497,560,643,676,809
Debra,453,635,684,870,984,,,,,
Declan,,,,,710,545,439,431,364,347
Deegan,,,,,,,,,,980
Deidra,840,819,,,,,,,,
Deidre,971,630,,,,,,,,
Deion,,751,581,411,810,890,,,,
Deirdre,990,,,,,,,,,
Deja,747,740,824,182,244,335,422,594,753,893
Dejah,,,,982,784,927,,,,
Dejon,,977,,,,,,,,
Dejuan,790,938,974,925,967,,,,,
Delaney,,707,515,264,220,206,181,169,193,209
Delia,810,968,,,863,959,,966,,
Delilah,,,,,878,673,709,596,548,193
Demarco,801,774,951,862,787,972,,,,
Demarcus,442,469,453,511,579,622,703,775,735,708
Demario,667,782,981,,,,,,,
Demarion,,,,,,,,820,749,905
Demetri,,778,888,,,,,,,
Demetria,885,888,,,,,,,,
Demetrius,290,281,301,338,377,382,422,438,437,520
Demi,,636,676,645,841,,,,,
Demonte,,,959,,,,,,,
Dena,966,,,,,,,,,
Denise,152,188,212,230,303,328,321,354,379,364
Denisha,,,693,,,,,,,
Denisse,,,951,935,,,835,,,959
Dennis,129,150,177,203,238,252,280,310,313,370
Denver,,992,855,903,784,894,,,,
Denzel,445,330,335,472,620,774,708,752,940,942
Denzell,,832,,,,,,,,
Deon,549,527,473,513,615,608,693,817,849,830
Deondre,,,776,802,734,785,,,,
Deonta,,839,,1000,,,,,,
Deontae,979,,,,972,881,,,,
Deonte,615,523,482,491,539,605,790,,,
Dequan,,874,522,682,772,,,,,
Dereck,778,919,,,,,,,,
Derek,54,62,77,101,110,121,139,156,159,159
Dereon,,,,,,,,,,882
Derick,412,486,499,563,567,615,657,704,736,733
Derik,732,904,,,,,,,,
Deron,863,969,,,,,,,,
Derrek,956,,,,,,,,,
Derrell,900,,,,,,,,,
Derrick,106,120,136,169,194,218,235,249,256,286
Desean,,,982,,,,,,,
Deshaun,,950,821,803,807,820,851,934,853,
Deshawn,481,444,408,453,428,487,563,546,518,595
Desirae,481,477,497,524,615,612,699,840,883,983
Desiree,125,121,125,144,159,181,214,234,300,381
Desmond,287,265,359,375,352,375,425,467,464,413
Destany,,,,,950,947,,,,
Destin,,,938,794,802,742,808,996,960,
Destinee,845,553,386,312,307,326,489,521,554,616
Destiney,,,720,616,559,563,719,834,972,714
Destini,,964,745,658,594,569,782,926,929,
Destiny,202,129,86,56,34,24,34,39,37,48
Devan,669,629,709,807,409,494,515,504,582,746
Devante,,199,309,357,571,759,973,,,
Deven,730,604,596,540,491,479,512,511,606,683
Devin,98,75,61,59,62,69,770,82,100,109
Devon,277,301,371,404,505,658,831,843,197,243
Devonta,,569,611,702,926,,,,,
Devontae,,708,889,928,,,,,,
Devonte,,226,279,356,440,500,630,782,841,
Devyn,,760,797,804,751,699,910,899,748,847
Dewayne,647,662,797,873,866,861,,,,
Dexter,376,474,548,585,618,756,816,799,913,715
Diamond,429,219,170,179,164,162,207,268,316,449
Diana,99,101,98,107,83,106,117,90,120,137
Diane,363,414,540,584,644,713,827,904,,
Dianna,594,729,758,820,847,846,968,978,,
Diego,308,301,237,218,186,147,98,73,56,68
Dillan,,553,601,688,596,673,697,666,774,875
Dillion,,539,694,817,843,989,,,,
Dillon,184,73,101,121,134,169,201,197,223,264
Dimitri,,502,594,766,673,733,787,968,,
Dina,755,809,877,931,,,,,,
Dion,526,528,543,560,665,710,829,844,988,
Dionte,970,825,902,933,,,,,,
Dixie,,,,,,,,,,964
Diya,,,,,,,,871,,995
Domenic,,999,924,926,935,905,863,880,964,
Domingo,823,923,,,,,,,,
Dominic,189,137,128,135,120,118,83,91,85,93
Dominick,393,317,302,290,264,271,224,217,216,240
Dominik,,,,985,867,832,577,639,612,577
Dominique,207,180,239,345,479,524,576,654,763,785
Dominque,912,810,998,,,,,,,
Domonique,699,901,716,901,,,,,,
Don,553,602,679,694,765,828,999,,,
Donald,87,110,132,158,180,217,252,263,303,331
Donavan,803,704,733,763,690,734,677,734,812,964
Donavon,,1000,,,,963,,,,
Dondre,,854,822,,,,,,,
Donna,317,377,383,554,567,660,675,783,832,973
Donnell,652,723,746,848,,998,,,,
Donnie,545,641,747,804,812,946,,,,
Donny,980,,,,,,,,,
Donovan,299,243,261,246,209,206,191,187,198,214
Donta,903,970,,,,,,,,
Dontae,735,815,988,719,823,985,965,,,
Donte,424,421,475,436,470,522,600,648,722,782
Dora,975,980,,,,,,,,
Dorian,520,524,531,517,506,399,420,435,469,442
Doris,853,883,,,,,,,,
Dorothy,426,484,551,638,710,747,872,858,,
Douglas,103,126,156,181,227,274,305,353,365,424
Drake,538,425,339,305,269,261,266,262,239,230
Draven,,,,852,894,735,720,683,685,670
Drew,160,181,957,732,778,804,217,986,205,244
Duane,521,563,648,692,769,863,913,,,
Dulce,903,648,589,682,692,600,493,460,274,302
Duncan,737,642,512,444,386,448,487,566,654,717
Dustin,50,58,56,78,108,148,189,223,259,303
Dusty,643,884,646,760,,,,,,
Dwayne,307,352,409,459,510,539,614,684,610,687
Dwight,446,495,540,636,669,768,971,886,,
Dylan,83,28,915,33,25,24,890,475,733,532
Dyllan,,807,,986,,,,,,
Dylon,,643,703,810,711,752,907,831,,
Ean,,,,,,968,995,812,775,869
Earl,403,458,518,571,601,712,834,951,993,
Earnest,850,909,,,,,,,,
Easton,,,,842,670,581,540,418,359,302
Eboni,794,824,898,962,992,,,,,
Ebony,187,213,280,346,432,552,678,818,,
Eddie,232,259,290,319,339,350,384,362,395,438
Eddy,925,819,983,939,,,955,916,855,
Eden,697,697,697,639,565,522,365,340,320,896
Edgar,143,149,147,148,167,177,175,170,171,193
Edgardo,779,692,851,940,,,,,,
Edison,,,,,,,,,947,
Edith,560,554,494,569,591,564,571,687,638,806
Edmund,819,880,913,978,,,,,,
Edna,950,,,,,,,,,
Eduardo,149,132,113,123,145,124,133,126,126,141
Edward,68,70,84,95,106,108,120,129,143,148
Edwardo,987,,,,,,,,,
Edwin,170,177,175,196,197,196,179,173,158,175
Efrain,539,521,516,527,541,552,581,584,663,753
Efren,773,826,831,789,824,878,886,969,968,
Eileen,464,579,609,613,554,627,667,737,770,760
Elaina,814,766,616,635,651,504,528,457,448,462
Elaine,409,417,448,470,523,577,639,660,719,742
Eleanor,598,585,584,492,386,374,319,301,277,256
Elena,353,337,297,301,273,234,232,214,187,211
Eli,363,350,305,309,288,236,197,160,139,100
Elian,,,,,,427,817,855,,817
Eliana,,916,995,885,708,536,394,314,282,203
Elianna,,,,,,,,,,1000
Elias,360,341,318,292,261,242,218,207,186,157
Eliezer,997,,963,943,,,986,993,,986
Elijah,243,203,133,81,66,52,41,31,29,22
Elisa,421,457,477,442,473,519,496,494,543,622
Elisabeth,348,341,360,367,381,390,364,435,502,525
Elise,265,297,332,305,294,253,238,225,218,218
Eliseo,963,910,933,910,,928,943,,,
Elisha,957,902,820,879,946,653,601,599,629,636
Elissa,743,727,815,779,714,794,789,884,,
Eliza,558,661,593,465,449,380,361,319,325,328
Elizabeth,9,9,9,10,10,10,11,10,11,9
Ella,869,892,690,600,413,265,89,29,21,19
Elle,,,,,,,613,490,480,494
Ellen,208,217,217,245,426,451,476,495,544,672
Elliana,,,,,,,,,857,530
Ellie,,855,801,610,437,360,200,189,175,167
Elliot,369,404,434,477,468,468,436,398,372,332
Elliott,358,399,459,501,501,537,534,458,388,386
Ellis,758,765,845,780,817,786,908,837,783,798
Elmer,698,687,788,723,763,864,775,865,907,
Elsa,817,867,866,871,998,910,821,815,792,724
Elsie,,,,,,,,,879,740
Elton,964,,,,,,,,,
Elvin,935,924,,,,,,956,,
Elvis,718,750,777,781,703,593,627,693,761,713
Elyse,526,669,755,907,762,817,766,725,684,695
Elyssa,983,,978,862,803,877,887,890,,
Emanuel,372,365,380,352,364,329,294,278,263,260
Emelia,,,,,,,,,,960
Emely,,,,633,586,464,393,315,309,305
Emerald,,917,767,844,810,966,1000,,,
Emerson,906,993,,987,868,911,832,900,539,474
Emery,,,,,,,,,778,744
Emilee,588,501,414,350,353,333,332,313,375,459
Emilia,984,934,907,880,856,624,543,470,420,401
Emiliano,,,,,,637,459,364,332,315
Emilie,616,591,512,475,518,483,458,458,491,690
Emilio,438,386,379,337,340,347,338,297,298,281
Emily,12,7,3,1,1,1,1,1,1,3
Emma,130,104,76,53,22,17,4,2,2,1
Emmalee,,,,,,929,833,644,685,743
Emmanuel,218,224,229,211,213,195,184,174,166,146
Emmett,965,803,826,863,847,739,698,621,569,547
Emmy,,,,,,,,,,957
Enrique,263,271,265,228,237,221,250,255,281,279
Enzo,,,,,,,,795,737,606
Eric,24,26,30,35,39,42,52,61,77,86
Erica,36,44,57,79,93,102,144,183,222,293
Erich,719,730,767,856,,,,,,
Erick,223,222,185,188,206,189,182,180,174,179
Ericka,356,380,471,540,547,636,822,975,993,
Erik,96,98,99,122,140,143,156,172,189,213
Erika,74,80,90,106,124,123,166,192,238,331
Erin,654,796,811,916,57,60,72,95,130,164
Ernest,283,337,390,438,486,512,590,597,723,789
Ernesto,310,313,317,334,336,346,323,347,379,412
Ervin,840,735,965,904,,,,,,
Erwin,,978,,,,,,,,
Erykah,,,,,779,,,,,
Eryn,972,,,973,922,855,,,,
Esmeralda,425,403,375,359,134,195,205,210,224,254
Esperanza,,,,729,700,529,606,751,675,967
Essence,,876,777,544,457,580,845,817,839,979
Esteban,414,389,378,339,362,334,337,352,333,366
Estefani,,,,,,,986,,905,
Estefania,,722,,592,,928,697,997,,
Estefany,,,,954,,,957,,,
Estevan,720,685,681,685,684,745,795,760,846,
Esther,286,302,289,320,323,330,302,298,298,274
Estrella,,,,,664,693,702,607,311,403
Ethan,58,76,89,62,38,25,5,5,4,3
Ethen,,,,,,,909,881,952,909
Eugene,312,338,373,450,462,504,548,585,647,691
Eunice,928,904,930,,,,,,,
Eva,344,340,347,348,345,294,239,198,124,114
Evan,71,66,62,65,63,55,56,39,42,38
Evangeline,,,,,,,,,597,450
Eve,,,,,932,538,557,610,590,655
Evelin,,,,,,,763,772,674,811
Evelyn,220,202,201,188,178,150,98,83,65,54
Everett,556,594,619,618,583,585,589,535,451,383
Evie,,,,,,,,,,853
Ezekiel,625,636,616,521,453,358,347,315,269,241
Ezequiel,765,787,672,561,590,596,560,563,541,519
Ezra,763,793,695,556,492,435,441,381,340,292
Fabian,325,339,326,328,317,285,271,267,272,288
Fabiola,854,767,711,683,772,951,807,866,980,
Faith,295,245,218,149,106,66,48,52,64,91
Fallon,918,843,996,,,,,,,
Fatima,622,627,572,552,497,242,246,271,228,249
Federico,945,,,,,,,,,
Felicia,121,146,181,265,377,484,579,880,,
Felicity,,,,,818,445,550,711,617,698
Felipe,427,414,420,447,455,425,452,440,457,535
Felisha,774,829,,,,,,,,
Felix,368,346,391,380,388,376,395,393,397,354
Fernanda,,,,983,963,567,456,496,431,423
Fernando,179,170,174,178,166,150,159,155,151,164
Fidel,804,840,787,818,892,882,899,,,
Finley,,,,,,,,,910,818
Finn,,,,,,833,802,568,456,368
Finnegan,,,,,,,,,779,647
Fiona,941,,908,608,520,460,347,327,333,347
Fisher,,,,,,,,994,,885
Fletcher,,,,,,,1000,959,,994
Flor,,941,,,,,,,1000,
Floyd,641,740,782,961,981,,,,,
Forest,,820,656,,,,,,,
Forrest,420,316,217,492,619,696,852,,,
Frances,351,388,412,461,471,575,620,639,779,796
Francesca,465,373,365,353,372,405,407,425,428,491
Francesco,834,,996,969,989,995,,,,
Francis,284,318,340,386,410,436,497,524,561,656
Francisco,115,118,120,132,138,139,141,149,157,172
Franco,,,,,,,,891,918,826
Frank,109,125,141,162,178,208,216,230,245,278
Frankie,494,556,603,627,681,728,745,746,648,762
Franklin,298,311,349,350,389,449,471,489,439,467
Fred,498,573,652,652,746,960,878,,,
Freddie,574,619,704,756,830,932,979,,,
Freddy,542,525,585,569,639,609,641,641,641,707
Frederick,252,275,299,325,361,396,428,449,483,523
Fredrick,468,507,583,586,621,720,830,802,903,
Frida,,,,,,,757,729,836,894
Gabriel,904,86,784,868,827,780,32,32,28,24
Gabriela,182,139,114,131,129,117,116,110,110,131
Gabriella,292,209,160,139,116,98,77,76,50,35
Gabrielle,98,84,67,54,47,49,66,73,62,79
Gael,,,,,,,721,371,314,296
Gage,359,335,228,201,169,166,140,145,156,144
Gaige,,,,,,883,928,,919,791
Galen,766,866,882,917,,,,,,
Galilea,,,,,,,932,831,840,
Gannon,,,,,,,956,866,889,
Garett,912,932,984,850,876,766,980,,,
Garret,506,442,493,479,477,420,570,671,750,
Garrett,99,88,82,85,80,74,91,114,138,160
Garrick,636,920,,,,,,,,
Garrison,958,892,773,752,650,667,660,736,895,
Garry,769,810,973,,,,,,,
Garth,,659,,,,,,,,
Gary,114,139,167,202,234,275,284,326,350,426
Gauge,,,,,,,,,881,736
Gaven,,,,,,845,728,718,948,918
Gavin,294,266,256,192,116,85,61,52,38,30
Gavyn,,,,,,,860,747,710,626
Gemma,,,,,,,,,,888
Genaro,994,,975,,982,976,,,,
Gene,618,655,723,838,,,,,,
Genesis,590,375,270,282,260,247,228,185,169,95
Geneva,848,935,945,,,,,,,
Genevieve,485,521,557,514,535,507,397,403,368,325
Geoffrey,249,312,382,503,546,651,733,851,,
George,79,95,110,118,126,130,131,146,153,153
Georgia,717,594,639,583,429,334,379,366,273,312
Georgina,976,952,,,,,,,,
Geovanni,,,,,,,,,,934
Gerald,211,244,284,322,376,383,446,463,544,603
Geraldine,947,,,,,,,,,
Gerard,527,630,649,761,838,823,,,,
Gerardo,254,228,230,205,217,209,234,235,268,290
German,616,664,658,647,759,694,759,827,839,859
Gia,,,,,,948,743,753,643,722
Giada,,,,,,,,,,826
Giana,,,,,,,865,850,708,633
Giancarlo,911,945,910,990,913,815,764,677,716,635
Gianna,863,622,502,401,266,240,163,124,98,86
Gianni,,,,,560,729,710,626,611,543
Gideon,,,,,,891,784,692,591,534
Gilbert,341,378,446,465,507,527,591,560,658,728
Gilberto,431,423,425,460,451,480,522,536,554,663
Gillian,825,969,,603,330,324,388,554,758,832
Gina,139,164,194,235,298,356,414,574,712,854
Gino,789,637,667,753,795,902,917,902,,
Giovani,,,,,,999,987,,791,613
Giovanna,,975,929,964,758,810,692,684,723,780
Giovanni,329,300,287,237,225,201,202,189,146,140
Giovanny,,,,,936,829,914,834,702,676
Giselle,706,838,613,624,242,212,217,181,168,136
Gisselle,,,,,632,367,449,593,677,653
Giuliana,,,,,,,,,,875
Gladys,530,695,721,766,,,,,,
Glen,464,526,575,649,740,769,892,,,
Glenn,296,342,410,455,496,590,617,682,850,864
Gloria,241,250,283,308,334,358,381,422,453,431
Gonzalo,770,733,729,790,900,695,729,856,925,
Gordon,471,503,552,549,640,641,674,750,900,946
Grace,140,127,103,95,53,19,15,13,17,21
Gracelyn,,,,,,,,921,759,683
Gracie,,,,,620,244,153,114,103,99
Graciela,977,898,802,770,574,814,928,859,,
Grady,774,808,742,831,825,746,613,544,475,283
Graham,397,401,393,404,407,406,410,421,430,323
Grant,183,165,151,119,127,123,127,141,155,142
Grayson,669,620,514,401,359,313,308,272,218,188
Greg,712,794,954,,,,,,,
Gregg,914,,,,,,,,,
Greggory,864,,,,,,,,,
Gregorio,808,828,785,857,927,,,,,
Gregory,51,60,76,98,109,138,169,194,208,236
Greta,,,,,,756,755,706,680,694
Gretchen,626,683,741,721,746,742,812,885,771,945
Greyson,,,,811,796,706,704,655,503,381
Griffin,601,561,404,281,215,231,228,240,254,242
Griselda,730,834,844,996,,,,,,
Guadalupe,611,661,621,631,708,703,771,882,921,296
Guillermo,396,361,358,353,369,392,405,407,440,470
Gunnar,,746,555,553,511,574,557,574,502,540
Gunner,,,876,812,666,715,636,595,578,471
Gustavo,343,307,281,296,311,260,265,290,305,342
Guy,565,615,738,767,764,811,929,987,989,
Gwendolyn,679,684,717,749,702,732,576,591,631,586
Gwyneth,,,,,,,,958,,
Hadassah,,,,,,,,,,988
Haden,,,,,,,918,894,858,
Hadley,,,,,964,919,875,690,494,414
Haiden,,,,,,,,960,872,773
Hailee,,792,637,478,489,384,373,394,454,456
Hailey,293,160,119,93,70,35,32,24,25,25
Hailie,,,,,,771,572,720,760,990
Hakeem,612,731,639,680,788,,,,,
Haleigh,960,586,478,388,430,372,421,492,596,728
Haley,108,56,36,30,35,28,35,44,75,101
Hali,994,726,753,872,,,,,,
Halie,,753,565,527,665,561,661,825,937,
Halle,,,702,607,570,442,313,386,493,506
Hallie,778,598,529,499,480,297,355,438,450,510
Hamza,,,,,943,794,760,730,738,760
Hana,,,893,891,738,638,621,691,716,827
Hanna,342,290,237,206,165,171,194,231,269,367
Hannah,30,26,16,7,2,2,3,5,8,17
Hans,745,799,925,,937,,,,,
Harley,590,525,323,390,431,446,433,462,522,592
Harmony,,,,,938,720,670,576,342,314
Harold,324,355,439,440,514,535,586,610,652,737
Harper,,,,,,,,887,953,860
Harrison,279,282,218,209,174,184,199,209,232,219
Harry,370,366,416,456,469,513,521,530,593,644
Harvey,707,809,843,962,,,,,,
Hassan,733,857,707,737,677,685,765,803,765,792
Haven,,,,939,923,772,633,670,610,631
Hayden,378,248,176,168,836,685,96,87,73,76
Haylee,,557,466,358,358,259,248,237,247,234
Hayley,267,135,136,120,151,148,192,245,306,382
Haylie,,,894,838,828,639,583,541,427,497
Hazel,,,,,940,893,767,680,465,343
Heath,461,544,529,642,651,851,672,689,786,716
Heather,19,31,44,71,99,126,159,244,341,487
Heaven,855,787,619,586,359,340,276,269,253,275
Hector,156,156,161,173,185,185,194,192,175,181
Heidi,200,225,274,290,342,351,322,342,295,289
Heidy,,,,,,,,998,,946
Helen,320,326,320,313,349,345,340,364,343,371
Helena,948,,727,646,678,662,599,557,508,612
Henry,138,141,146,139,136,126,115,109,95,78
Herbert,531,587,673,745,797,964,974,,,
Heriberto,682,717,686,762,848,912,803,887,,
Herman,637,699,763,796,938,,,,,
Hernan,939,804,864,813,922,974,,,,
Hezekiah,,,,,,,,,885,929
Hilary,232,233,,,,,,,,
Hillary,192,131,566,693,868,878,,809,982,715
Holden,756,693,604,567,416,453,412,372,384,358
Holli,895,,,,,,,,,
Hollie,609,665,754,815,999,,,,,
Holly,89,99,112,130,163,189,231,293,346,365
Hope,266,310,233,186,160,146,160,179,200,225
Houston,728,747,632,635,725,777,879,824,837,880
Howard,404,467,523,589,586,664,687,776,836,903
Hudson,,,,650,667,587,481,329,249,176
Hugh,736,830,815,768,773,906,864,921,994,998
Hugo,415,379,418,432,415,400,369,367,371,389
Humberto,512,520,537,543,576,575,593,680,697,805
Hunter,219,135,67,47,36,402,561,742,54,54
Ian,70,68,74,70,73,73,67,69,81,80
Ibrahim,877,,877,743,836,692,658,587,594,589
Iesha,732,434,667,757,,,,,,
Ignacio,599,613,640,659,638,642,638,668,703,814
Iliana,740,820,881,,888,820,796,804,727,703
Imani,929,550,303,239,253,305,318,390,409,384
Imanol,,,,,,,,,969,
Immanuel,,,,,,,988,979,,904
India,488,390,406,394,498,395,311,478,568,815
Infant,434,746,752,979,945,770,,,,
Ingrid,737,708,761,802,896,856,722,618,619,545
Ira,835,951,,,,,,,,
Ireland,,,,,819,,964,,,834
Irene,387,430,420,418,493,468,516,536,593,636
Iris,417,448,483,520,453,412,382,376,369,341
Irma,683,835,857,,,,,,,
Irvin,613,543,643,608,642,662,645,662,670,720
Irving,685,647,720,889,,838,880,922,,
Isaac,132,124,103,86,65,53,48,46,48,37
Isaak,,,,,,996,804,903,,
Isabel,339,265,243,197,118,93,85,87,87,96
Isabela,,,,,,849,635,442,470,533
Isabell,,,,,,,921,861,724,790
Isabella,892,487,222,152,84,45,14,7,4,2
Isabelle,,839,548,370,196,144,111,107,85,93
Isai,,,,899,962,938,726,699,706,734
Isaiah,206,212,169,71,59,47,45,45,40,42
Isaias,811,783,753,612,580,566,551,502,531,496
Isamar,533,984,,,,,,,,
Ishaan,,,,,,,,,,851
Ishmael,,,,927,952,,,,,
Isiah,433,512,541,365,348,342,358,385,406,446
Isidro,913,925,906,,958,947,,,,
Isis,,,992,902,625,555,564,537,566,607
Isla,,,,,,,,,,623
Ismael,413,381,371,335,351,340,339,332,327,349
Israel,317,297,283,264,243,244,251,215,203,210
Issac,606,653,589,522,476,457,414,397,409,377
Itzel,,,513,701,747,594,441,359,378,383
Ivan,178,151,172,166,154,153,136,117,127,132
Ivana,849,884,,,975,864,,,,
Ivette,859,649,847,955,,,,,,
Ivonne,,899,,,,,,,,
Ivy,770,741,520,405,383,352,404,387,334,298
Iyana,,,,,,990,751,893,880,997
Iyanna,,,,,,,958,867,991,
Izabella,,,,,,798,413,395,290,231
Izabelle,,,,,,,,,998,958
Izaiah,,,,,853,659,564,538,461,428
Izayah,,,,,,,,,976,995
Jabari,907,738,769,825,916,847,702,617,609,771
Jace,552,550,568,466,379,310,281,228,187,180
Jacey,,,,965,872,721,802,801,747,802
Jack,166,155,127,89,61,46,43,42,35,39
Jackeline,,,,,,729,993,940,,
Jackie,629,701,774,785,779,808,,,,
Jacklyn,541,535,580,601,775,807,,,,
Jackson,319,223,166,136,100,72,50,48,36,32
Jaclyn,143,171,224,303,391,452,529,672,860,
Jacob,20,15,7,3,2,1,1,1,1,1
Jacoby,908,728,823,867,761,824,766,821,909,423
Jacqueline,67,76,64,68,95,63,81,108,118,152
Jacquelyn,221,241,268,311,370,359,459,620,668,794
Jacques,797,895,952,941,914,,,,,
Jacquez,,,,,864,,,,,
Jada,998,717,488,225,119,84,78,81,93,110
Jade,830,779,760,836,125,116,86,109,111,129
Jaden,,,630,999,763,385,87,83,88,88
Jadiel,,,,,,,,,,874
Jadon,,,,,753,515,416,430,398,473
Jadyn,,,,,,640,872,800,757,823
Jaeden,,,,,,948,714,685,666,610
Jaelyn,,,,,901,616,537,506,442,330
Jaelynn,,,,,,,,,793,517
Jagger,,,,,,,651,997,,954
Jaheem,,,,,,,889,,,
Jaheim,,,,,,,357,743,977,
Jahiem,,,,,,,741,,,
Jaida,,,,,874,692,627,598,560,518
Jaiden,,,,,,738,507,429,464,520
Jaidyn,,,,,,,841,814,586,802
