Make,Model,Vehicle Class,Engine Size(L),Cylinders,Transmission,Fuel Type,Fuel Consumption City (L/100 km),Fuel Consumption Hwy (L/100 km),Fuel Consumption Comb (L/100 km),Fuel Consumption Comb (mpg),CO2 Emissions(g/km),Continent,Automatic / Manual,A / M digital
BMW,X5 XDRIVE50I,SUV - STANDARD,4.4,8.0,AS8,Z,15.6,11.3,13.7,21.0,320.0,Europe,A,1
BMW,X6 XDRIVE50I,SUV - STANDARD,4.4,8.0,AS8,Z,15.6,11.3,13.7,21.0,320.0,Europe,A,1
CHEVROLET,SILVERADO 4WD TRAIL BOSS,PICKUP TRUCK - STANDARD,5.3,8.0,A8,X,15.3,11.8,13.7,21.0,320.0,America,A,1
GMC,SIERRA 4WD AT4,PICKUP TRUCK - STANDARD,5.3,8.0,A8,X,15.3,11.8,13.7,21.0,320.0,America,A,1
RAM,1500,PICKUP TRUCK - STANDARD,5.7,8.0,A8,X,16.2,10.5,13.6,21.0,320.0,America,A,1
RAM,1500 (MDS),PICKUP TRUCK - STANDARD,5.7,8.0,A8,X,15.8,10.9,13.6,21.0,319.0,America,A,1
RAM,1500,PICKUP TRUCK - STANDARD,5.7,8.0,A8,X,15.7,11.0,13.6,21.0,319.0,America,A,1
RAM,1500 CLASSIC,PICKUP TRUCK - STANDARD,5.7,8.0,A8,X,15.7,11.0,13.6,21.0,319.0,America,A,1
CHEVROLET,SUBURBAN 4WD FFV,SUV - STANDARD,5.3,8.0,A6,E,22.2,15.3,19.1,15.0,319.0,America,A,1
FORD,F-150 FFV (PAYLOAD PKG),PICKUP TRUCK - STANDARD,5.0,8.0,AS10,X,15.1,11.8,13.6,21.0,319.0,America,A,1
FORD,MUSTANG BULLITT,SUBCOMPACT,5.0,8.0,M6,X,16.4,10.2,13.6,21.0,319.0,America,M,0
GMC,YUKON XL 4WD FFV,SUV - STANDARD,5.3,8.0,A6,E,22.2,15.3,19.1,15.0,319.0,America,A,1
FORD,F-150 FFV 4X4,PICKUP TRUCK - STANDARD,5.0,8.0,AS6,E,22.4,16.9,19.9,14.0,318.0,America,A,1
KIA,K900,FULL-SIZE,5.0,8.0,AS8,X,15.6,10.6,13.4,21.0,318.0,Asia,A,1
MERCEDES-BENZ,GLE 550 4MATIC,SUV - STANDARD,4.7,8.0,A9,Z,15.3,11.3,13.5,21.0,318.0,Europe,A,1
AUDI,RS 7,MID-SIZE,4.0,8.0,AS8,Z,17.0,9.6,13.7,21.0,318.0,Europe,A,1
CHEVROLET,CORVETTE Z06,TWO-SEATER,6.2,8.0,M7,Z,15.9,10.6,13.5,21.0,318.0,America,M,0
MERCEDES-BENZ,AMG E 63 S 4MATIC+,MID-SIZE,4.0,8.0,A9,Z,16.0,10.5,13.5,21.0,318.0,Europe,A,1
BMW,X7 XDRIVE50I,SUV - STANDARD,4.4,8.0,AS8,Z,15.5,11.4,13.6,21.0,318.0,Europe,A,1
BMW,X7 M50I,SUV - STANDARD,4.4,8.0,AS8,Z,15.5,11.4,13.6,21.0,318.0,Europe,A,1
CHEVROLET,SILVERADO,PICKUP TRUCK - STANDARD,4.3,6.0,A6,X,15.1,11.5,13.5,21.0,318.0,America,A,1
GMC,SIERRA,PICKUP TRUCK - STANDARD,4.3,6.0,A6,X,15.1,11.5,13.5,21.0,318.0,America,A,1
LAND ROVER,RANGE ROVER VELAR SVAUTOBIOGRAPHY DYNAMIC,SUV - SMALL,5.0,8.0,AS8,Z,15.2,11.5,13.5,21.0,318.0,Europe,A,1
BMW,M5,MID-SIZE,4.4,8.0,M6,Z,16.2,10.9,13.8,20.0,317.0,Europe,M,0
BMW,M6,COMPACT,4.4,8.0,M6,Z,16.2,10.9,13.8,20.0,317.0,Europe,M,0
BMW,M6 CABRIOLET,SUBCOMPACT,4.4,8.0,M6,Z,16.2,10.9,13.8,20.0,317.0,Europe,M,0
BMW,M6 GRAN COUPE,COMPACT,4.4,8.0,M6,Z,16.2,10.9,13.8,20.0,317.0,Europe,M,0
CHEVROLET,SUBURBAN,SUV - STANDARD,5.3,8.0,A6,X,16.0,11.1,13.8,20.0,317.0,America,A,1
CHEVROLET,SUBURBAN 4WD,SUV - STANDARD,5.3,8.0,A6,X,16.0,11.1,13.8,20.0,317.0,America,A,1
CHEVROLET,TAHOE,SUV - STANDARD,5.3,8.0,A6,X,16.0,11.1,13.8,20.0,317.0,America,A,1
CHEVROLET,TAHOE 4WD,SUV - STANDARD,5.3,8.0,A6,X,16.0,11.1,13.8,20.0,317.0,America,A,1
CHRYSLER,300 SRT (MDS),FULL-SIZE,6.4,8.0,A5,Z,16.7,10.3,13.8,20.0,317.0,America,A,1
DODGE,CHALLENGER SRT (MDS),MID-SIZE,6.4,8.0,A5,Z,16.7,10.3,13.8,20.0,317.0,America,A,1
DODGE,CHARGER SRT (MDS),FULL-SIZE,6.4,8.0,A5,Z,16.7,10.3,13.8,20.0,317.0,America,A,1
FORD,F-150 4X4,PICKUP TRUCK - STANDARD,3.5,6.0,A6,X,15.9,11.3,13.8,20.0,317.0,America,A,1
GMC,YUKON,SUV - STANDARD,5.3,8.0,A6,X,16.0,11.1,13.8,20.0,317.0,America,A,1
GMC,YUKON 4WD,SUV - STANDARD,5.3,8.0,A6,X,16.0,11.1,13.8,20.0,317.0,America,A,1
GMC,YUKON XL,SUV - STANDARD,5.3,8.0,A6,X,16.0,11.1,13.8,20.0,317.0,America,A,1
GMC,YUKON XL 4WD,SUV - STANDARD,5.3,8.0,A6,X,16.0,11.1,13.8,20.0,317.0,America,A,1
BMW,X5 XDRIVE50I,SUV - STANDARD,4.4,8.0,AS8,Z,16.1,10.9,13.8,20.0,317.0,Europe,A,1
BMW,X6 XDRIVE50I,SUV - STANDARD,4.4,8.0,AS8,Z,16.1,10.9,13.8,20.0,317.0,Europe,A,1
CADILLAC,ESCALADE 4WD,SUV - STANDARD,6.2,8.0,A8,Z,15.9,11.1,13.8,20.0,317.0,America,A,1
GMC,YUKON DENALI 4WD,SUV - STANDARD,6.2,8.0,A8,Z,15.9,11.1,13.8,20.0,317.0,America,A,1
CHEVROLET,SUBURBAN 4WD FFV,SUV - STANDARD,5.3,8.0,A6,E,22.2,15.3,19.1,15.0,317.0,America,A,1
GMC,YUKON XL 4WD FFV,SUV - STANDARD,5.3,8.0,A6,E,22.2,15.3,19.1,15.0,317.0,America,A,1
CHEVROLET,SUBURBAN 4WD FFV,SUV - STANDARD,5.3,8.0,A6,E,22.1,15.4,19.1,15.0,317.0,America,A,1
GMC,SIERRA 4WD FFV,PICKUP TRUCK - STANDARD,5.3,8.0,A6,E,20.7,14.4,17.9,16.0,317.0,America,A,1
GMC,YUKON XL 4WD FFV,SUV - STANDARD,5.3,8.0,A6,E,22.1,15.4,19.1,15.0,317.0,America,A,1
KIA,K900,FULL-SIZE,5.0,8.0,AS8,Z,15.6,10.6,13.3,21.0,317.0,Asia,A,1
NISSAN,FRONTIER 4WD,PICKUP TRUCK - SMALL,4.0,6.0,M6,X,15.1,11.5,13.5,21.0,317.0,Asia,M,0
BMW,X5 XDRIVE50I,SUV - STANDARD,4.4,8.0,AS8,Z,15.4,11.2,13.5,21.0,317.0,Europe,A,1
BMW,X6 XDRIVE50I,SUV - STANDARD,4.4,8.0,AS8,Z,15.4,11.2,13.5,21.0,317.0,Europe,A,1
MERCEDES-BENZ,GLE 550 4MATIC,SUV - STANDARD,4.7,8.0,A9,Z,15.2,11.4,13.5,21.0,317.0,Europe,A,1
CHEVROLET,SILVERADO LD,PICKUP TRUCK - STANDARD,5.3,8.0,A6,X,15.6,10.9,13.5,21.0,317.0,America,A,1
CHEVROLET,SUBURBAN 4WD FFV,SUV - STANDARD,5.3,8.0,A6,E,22.2,15.2,19.0,15.0,317.0,America,A,1
GMC,SIERRA,PICKUP TRUCK - STANDARD,4.3,6.0,A6,X,15.1,11.5,13.5,21.0,317.0,America,A,1
GMC,SIERRA LTD,PICKUP TRUCK - STANDARD,5.3,8.0,A6,X,15.6,10.9,13.5,21.0,317.0,America,A,1
GMC,YUKON XL 4WD FFV,SUV - STANDARD,5.3,8.0,A6,E,22.2,15.2,19.0,15.0,317.0,America,A,1
FORD,F-150 FFV 4X4,PICKUP TRUCK - STANDARD,5.0,8.0,AS10,X,15.1,11.6,13.5,21.0,317.0,America,A,1
CHEVROLET,SILVERADO,PICKUP TRUCK - STANDARD,4.3,6.0,A6,X,15.1,11.5,13.5,21.0,316.0,America,A,1
GMC,SIERRA 4WD,PICKUP TRUCK - STANDARD,5.3,8.0,A8,X,15.3,11.2,13.5,21.0,316.0,America,A,1
FORD,T-150 WAGON FFV,VAN - PASSENGER,3.5,6.0,AS10,E,21.5,16.2,19.1,15.0,316.0,America,A,1
FORD,F-150 FFV,PICKUP TRUCK - STANDARD,5.0,8.0,A6,E,22.1,16.7,19.7,14.0,315.0,America,A,1
FORD,F-150 FFV,PICKUP TRUCK - STANDARD,5.0,8.0,AS6,E,22.1,16.7,19.7,14.0,315.0,America,A,1
JAGUAR,XKR CONVERTIBLE,MINICOMPACT,5.0,8.0,AS6,Z,15.9,10.9,13.7,21.0,315.0,Europe,A,1
JAGUAR,XKR-S CONVERTIBLE,MINICOMPACT,5.0,8.0,AS6,Z,15.9,10.9,13.7,21.0,315.0,Europe,A,1
NISSAN,FRONTIER 4WD,PICKUP TRUCK - SMALL,4.0,6.0,A5,X,15.7,11.2,13.7,21.0,315.0,Asia,A,1
NISSAN,XTERRA 4WD,SUV - SMALL,4.0,6.0,M6,X,15.2,11.9,13.7,21.0,315.0,Asia,M,0
BMW,M5 SEDAN,MID-SIZE,4.4,8.0,M6,Z,16.1,10.8,13.7,21.0,315.0,Europe,M,0
BMW,M6 CABRIOLET,SUBCOMPACT,4.4,8.0,M6,Z,16.1,10.8,13.7,21.0,315.0,Europe,M,0
BMW,M6 COUPE,COMPACT,4.4,8.0,M6,Z,16.1,10.8,13.7,21.0,315.0,Europe,M,0
BMW,M6 GRAN COUPE,COMPACT,4.4,8.0,M6,Z,16.1,10.8,13.7,21.0,315.0,Europe,M,0
FORD,T-150 WAGON FFV,VAN - PASSENGER,3.7,6.0,AS6,E,22.1,16.7,19.7,14.0,315.0,America,A,1
NISSAN,FRONTIER 4WD,PICKUP TRUCK - SMALL,4.0,6.0,A5,X,15.7,11.3,13.7,21.0,315.0,Asia,A,1
BUICK,ENCLAVE,SUV - STANDARD,3.6,6.0,A6,X,15.8,10.6,13.4,21.0,315.0,America,A,1
CHEVROLET,TRAVERSE,SUV - STANDARD,3.6,6.0,A6,X,15.8,10.6,13.4,21.0,315.0,America,A,1
GMC,ACADIA,SUV - STANDARD,3.6,6.0,A6,X,15.8,10.6,13.4,21.0,315.0,America,A,1
BUICK,ENCLAVE,SUV - STANDARD,3.6,6.0,A6,X,15.7,10.6,13.4,21.0,315.0,America,A,1
CHEVROLET,COLORADO ZR2 4WD,PICKUP TRUCK - SMALL,2.8,4.0,A6,D,12.5,10.7,11.7,24.0,315.0,America,A,1
CHEVROLET,SILVERADO 4WD FFV,PICKUP TRUCK - STANDARD,5.3,8.0,A6,E,20.7,14.4,17.9,16.0,315.0,America,A,1
CHEVROLET,TRAVERSE,SUV - STANDARD,3.6,6.0,A6,X,15.7,10.6,13.4,21.0,315.0,America,A,1
NISSAN,TITAN 4WD,PICKUP TRUCK - STANDARD,5.6,8.0,AS7,X,15.2,11.1,13.4,21.0,315.0,Asia,A,1
BENTLEY,BENTAYGA,SUV - STANDARD,4.0,8.0,AS8,Z,16.4,10.1,13.6,21.0,315.0,Europe,A,1
MERCEDES-BENZ,AMG GT C COUPE,TWO-SEATER,4.0,8.0,AM7,Z,15.3,11.4,13.5,21.0,315.0,Europe,A,1
MERCEDES-BENZ,AMG GT C ROADSTER,TWO-SEATER,4.0,8.0,AM7,Z,15.2,11.4,13.5,21.0,315.0,Europe,A,1
PORSCHE,911 GT2 RS,TWO-SEATER,3.8,6.0,AM7,Z,15.3,11.2,13.5,21.0,315.0,Europe,A,1
LINCOLN,NAVIGATOR 4X4,SUV - STANDARD,3.5,6.0,AS10,X,15.0,11.5,13.4,21.0,315.0,America,A,1
BENTLEY,CONTINENTAL GT,SUBCOMPACT,4.0,8.0,AS8,Z,16.3,9.8,13.4,21.0,314.0,Europe,A,1
JEEP,WRANGLER UNLIMITED 4X4,SUV - SMALL,3.6,6.0,A5,X,14.8,11.7,13.4,21.0,314.0,America,A,1
BMW,X5 XDRIVE50I,SUV - STANDARD,4.4,8.0,AS8,Z,15.3,11.1,13.4,21.0,314.0,Europe,A,1
CHEVROLET,SUBURBAN,SUV - STANDARD,5.3,8.0,A6,X,15.7,10.5,13.4,21.0,314.0,America,A,1
CHEVROLET,SUBURBAN FFV,SUV - STANDARD,5.3,8.0,A6,X,15.7,10.5,13.4,21.0,314.0,America,A,1
CHEVROLET,TAHOE,SUV - STANDARD,5.3,8.0,A6,X,15.7,10.5,13.4,21.0,314.0,America,A,1
CHEVROLET,TAHOE FFV,SUV - STANDARD,5.3,8.0,A6,X,15.7,10.5,13.4,21.0,314.0,America,A,1
GMC,YUKON,SUV - STANDARD,5.3,8.0,A6,X,15.7,10.5,13.4,21.0,314.0,America,A,1
GMC,YUKON FFV,SUV - STANDARD,5.3,8.0,A6,X,15.7,10.5,13.4,21.0,314.0,America,A,1
GMC,YUKON XL,SUV - STANDARD,5.3,8.0,A6,X,15.7,10.5,13.4,21.0,314.0,America,A,1
GMC,YUKON XL FFV,SUV - STANDARD,5.3,8.0,A6,X,15.7,10.5,13.4,21.0,314.0,America,A,1
LINCOLN,NAVIGATOR 4X4,SUV - STANDARD,3.5,6.0,AS10,X,15.0,11.4,13.4,21.0,314.0,America,A,1
GMC,SIERRA 4WD AT4,PICKUP TRUCK - STANDARD,5.3,8.0,A8,X,15.1,11.4,13.4,21.0,314.0,America,A,1
PORSCHE,CAYENNE,SUV - STANDARD,3.6,6.0,M6,Z,15.8,10.9,13.6,21.0,313.0,Europe,M,0
RAM,1500 (MDS),PICKUP TRUCK - STANDARD,5.7,8.0,A8,X,15.8,10.9,13.6,21.0,313.0,America,A,1
AUDI,RS 7,MID-SIZE,4.0,8.0,AS8,Z,16.6,9.4,13.3,21.0,313.0,Europe,A,1
JAGUAR,XKR CONVERTIBLE,MINICOMPACT,5.0,8.0,AS6,Z,15.9,10.9,13.6,21.0,313.0,Europe,A,1
JAGUAR,XKR-S CONVERTIBLE,MINICOMPACT,5.0,8.0,AS6,Z,15.9,10.9,13.6,21.0,313.0,Europe,A,1
RAM,1500 (MDS),PICKUP TRUCK - STANDARD,5.7,8.0,A8,X,15.7,10.9,13.6,21.0,313.0,America,A,1
AUDI,RS 7 QUATTRO,MID-SIZE,4.0,8.0,AS8,Z,16.6,9.4,13.3,21.0,313.0,Europe,A,1
CHEVROLET,CORVETTE Z06,TWO-SEATER,6.2,8.0,M7,Z,15.7,10.6,13.4,21.0,313.0,America,M,0
DODGE,CHARGER AWD (MDS),FULL-SIZE,5.7,8.0,A5,X,16.1,10.0,13.4,21.0,313.0,America,A,1
JAGUAR,XJR,FULL-SIZE,5.0,8.0,AS8,Z,15.8,10.2,13.3,21.0,313.0,Europe,A,1
JAGUAR,XJR LWB,FULL-SIZE,5.0,8.0,AS8,Z,15.8,10.2,13.3,21.0,313.0,Europe,A,1
MERCEDES-BENZ,AMG S 63,FULL-SIZE,5.5,8.0,AS7,Z,15.7,10.1,13.2,21.0,313.0,Europe,A,1
MERCEDES-BENZ,AMG S 63 COUPE,COMPACT,5.5,8.0,AS7,Z,15.3,10.2,13.0,22.0,313.0,Europe,A,1
NISSAN,FRONTIER 4WD,PICKUP TRUCK - SMALL,4.0,6.0,M6,X,15.0,11.2,13.3,21.0,313.0,Asia,M,0
JAGUAR,XJR,FULL-SIZE,5.0,8.0,AS8,Z,15.8,10.3,13.3,21.0,313.0,Europe,A,1
JEEP,WRANGLER UNLIMITED 4X4,SUV - SMALL,3.6,6.0,A5,X,14.7,11.7,13.4,21.0,313.0,America,A,1
AUDI,S8,MID-SIZE,4.0,8.0,AS8,Z,16.2,9.9,13.4,21.0,313.0,Europe,A,1
CHEVROLET,SUBURBAN 4WD,SUV - STANDARD,5.3,8.0,A6,X,15.3,10.9,13.3,21.0,313.0,America,A,1
GMC,YUKON XL 4WD,SUV - STANDARD,5.3,8.0,A6,X,15.3,10.9,13.3,21.0,313.0,America,A,1
JAGUAR,XJR LWB,FULL-SIZE,5.0,8.0,AS8,Z,15.8,10.3,13.3,21.0,313.0,Europe,A,1
JEEP,WRANGLER JK UNLIMITED 4X4,SUV - SMALL,3.6,6.0,A5,X,14.7,11.7,13.4,21.0,313.0,America,A,1
MERCEDES-BENZ,AMG E 63 S 4MATIC,MID-SIZE,4.0,8.0,A9,Z,15.5,10.6,13.3,21.0,313.0,Europe,A,1
PORSCHE,PANAMERA GTS ST,FULL-SIZE,4.0,8.0,AM8,Z,15.7,10.5,13.4,21.0,313.0,Europe,A,1
NISSAN,TITAN 4WD,PICKUP TRUCK - STANDARD,5.6,8.0,AS9,Z,15.1,11.1,13.3,21.0,313.0,Asia,A,1
NISSAN,TITAN 4WD PRO-4X,PICKUP TRUCK - STANDARD,5.6,8.0,AS9,Z,15.1,11.2,13.3,21.0,313.0,Asia,A,1
CHEVROLET,SUBURBAN 4WD,SUV - STANDARD,5.3,8.0,A6,X,15.4,10.8,13.3,21.0,312.0,America,A,1
CHEVROLET,SUBURBAN 4WD FFV,SUV - STANDARD,5.3,8.0,A6,X,15.4,10.8,13.3,21.0,312.0,America,A,1
GMC,YUKON XL 4WD,SUV - STANDARD,5.3,8.0,A6,X,15.4,10.8,13.3,21.0,312.0,America,A,1
GMC,YUKON XL 4WD FFV,SUV - STANDARD,5.3,8.0,A6,X,15.4,10.8,13.3,21.0,312.0,America,A,1
HYUNDAI,EQUUS,FULL-SIZE,5.0,8.0,AS8,Z,15.8,10.2,13.3,21.0,312.0,Asia,A,1
JEEP,WRANGLER UNLIMITED 4X4,SUV - SMALL,3.6,6.0,M6,X,15.0,11.4,13.4,21.0,312.0,America,M,0
AUDI,S8,MID-SIZE,4.0,8.0,AS8,Z,16.2,9.9,13.4,21.0,312.0,Europe,A,1
CHEVROLET,CORVETTE Z06,TWO-SEATER,6.2,8.0,M7,Z,15.6,10.6,13.4,21.0,312.0,America,M,0
DODGE,CHARGER AWD,FULL-SIZE,5.7,8.0,A5,X,16.0,10.1,13.3,21.0,312.0,America,A,1
JEEP,WRANGLER UNLIMITED 4X4,SUV - SMALL,3.6,6.0,M6,X,15.0,11.4,13.3,21.0,312.0,America,M,0
NISSAN,TITAN,PICKUP TRUCK - STANDARD,5.6,8.0,AS7,X,15.0,11.2,13.3,21.0,312.0,Asia,A,1
CHEVROLET,SUBURBAN 4WD FFV,SUV - STANDARD,5.3,8.0,A6,X,15.3,10.9,13.3,21.0,312.0,America,A,1
DODGE,CHARGER AWD (MDS),FULL-SIZE,5.7,8.0,A5,X,16.0,10.1,13.3,21.0,312.0,America,A,1
GENESIS,G80 AWD,FULL-SIZE,5.0,8.0,AS8,Z,15.6,10.4,13.2,21.0,312.0,America,A,1
GMC,YUKON XL 4WD FFV,SUV - STANDARD,5.3,8.0,A6,X,15.3,10.9,13.3,21.0,312.0,America,A,1
JEEP,WRANGLER JK UNLIMITED 4X4,SUV - SMALL,3.6,6.0,M6,X,15.0,11.4,13.3,21.0,312.0,America,M,0
MERCEDES-BENZ,AMG E 63 S 4MATIC WAGON,STATION WAGON - MID-SIZE,4.0,8.0,A9,Z,15.2,11.0,13.3,21.0,312.0,Europe,A,1
ASTON MARTIN,DB11 AMR,MINICOMPACT,5.2,12.0,A8,Z,15.5,10.6,13.3,21.0,312.0,Europe,A,1
FORD,F-150 FFV 4X4,PICKUP TRUCK - STANDARD,5.0,8.0,AS10,X,15.1,11.0,13.3,21.0,312.0,America,A,1
MERCEDES-BENZ,GLS 450 4MATIC,SUV - STANDARD,3.0,6.0,A9,Z,14.9,11.2,13.2,21.0,312.0,Europe,A,1
FORD,MUSTANG,SUBCOMPACT,5.0,8.0,M6,X,16.1,9.9,13.3,21.0,312.0,America,M,0
JAGUAR,F-TYPE R AWD CONVERTIBLE,TWO-SEATER,5.0,8.0,AS8,Z,15.7,10.4,13.3,21.0,311.0,Europe,A,1
JAGUAR,F-TYPE R AWD COUPE,TWO-SEATER,5.0,8.0,AS6,Z,15.7,10.4,13.3,21.0,311.0,Europe,A,1
JAGUAR,F-TYPE R CONVERTIBLE AWD,TWO-SEATER,5.0,8.0,AS8,Z,15.6,10.4,13.3,21.0,311.0,Europe,A,1
JAGUAR,F-TYPE R COUPE AWD,TWO-SEATER,5.0,8.0,AS6,Z,15.6,10.4,13.3,21.0,311.0,Europe,A,1
CADILLAC,CTS VSPORT,MID-SIZE,3.6,6.0,AS8,Z,15.0,9.9,12.7,22.0,311.0,America,A,1
FORD,EXPEDITION MAX 4X4,SUV - STANDARD,3.5,6.0,AS10,X,14.9,11.2,13.2,21.0,311.0,America,A,1
FORD,F-150 FFV 4X4,PICKUP TRUCK - STANDARD,5.0,8.0,AS10,X,15.1,11.0,13.3,21.0,311.0,America,A,1
JAGUAR,F-TYPE R AWD CONVERTIBLE,TWO-SEATER,5.0,8.0,AS8,Z,15.6,10.4,13.3,21.0,311.0,Europe,A,1
JAGUAR,F-TYPE R AWD COUPE,TWO-SEATER,5.0,8.0,AS8,Z,15.6,10.4,13.3,21.0,311.0,Europe,A,1
FORD,EXPLORER AWD,SUV - STANDARD,3.5,6.0,AS6,X,15.2,10.9,13.2,21.0,311.0,America,A,1
FORD,MUSTANG,SUBCOMPACT,5.0,8.0,M6,X,16.1,9.9,13.3,21.0,311.0,America,M,0
FORD,MUSTANG BULLITT,SUBCOMPACT,5.0,8.0,M6,X,16.1,9.9,13.3,21.0,311.0,America,M,0
LAND ROVER,DISCOVERY,SUV - STANDARD,3.0,6.0,AS8,Z,14.8,11.4,13.3,21.0,311.0,Europe,A,1
GENESIS,G90 AWD,FULL-SIZE,5.0,8.0,AS8,Z,15.4,10.2,13.1,22.0,311.0,America,A,1
JAGUAR,XKR COUPE,MINICOMPACT,5.0,8.0,AS6,Z,15.6,10.9,13.5,21.0,310.0,Europe,A,1
JAGUAR,XKR-S COUPE,MINICOMPACT,5.0,8.0,AS6,Z,15.6,10.9,13.5,21.0,310.0,Europe,A,1
MERCEDES-BENZ,E 63 AMG 4MATIC WAGON,STATION WAGON - MID-SIZE,5.5,8.0,AS7,Z,15.5,11.0,13.5,21.0,310.0,Europe,A,1
MERCEDES-BENZ,E 63 AMG S 4MATIC WAGON,STATION WAGON - MID-SIZE,5.5,8.0,AS7,Z,15.5,11.0,13.5,21.0,310.0,Europe,A,1
PORSCHE,CAYENNE S,SUV - STANDARD,4.8,8.0,A8,Z,15.5,10.7,13.2,21.0,310.0,Europe,A,1
TOYOTA,TUNDRA,PICKUP TRUCK - STANDARD,4.0,6.0,AS5,X,14.8,11.8,13.5,21.0,310.0,Asia,A,1
CHEVROLET,TAHOE 4WD,SUV - STANDARD,5.3,8.0,A6,X,15.2,10.8,13.2,21.0,310.0,America,A,1
CHEVROLET,TAHOE 4WD FFV,SUV - STANDARD,5.3,8.0,A6,X,15.2,10.8,13.2,21.0,310.0,America,A,1
FORD,F-150 FFV 4X4 (PAYLOAD PKG),PICKUP TRUCK - STANDARD,5.0,8.0,AS6,E,21.8,15.3,18.8,15.0,310.0,America,A,1
GMC,YUKON 4WD,SUV - STANDARD,5.3,8.0,A6,X,15.2,10.8,13.2,21.0,310.0,America,A,1
GMC,YUKON 4WD FFV,SUV - STANDARD,5.3,8.0,A6,X,15.2,10.8,13.2,21.0,310.0,America,A,1
MERCEDES-BENZ,AMG E 63 S 4MATIC,MID-SIZE,5.5,8.0,AS7,Z,15.3,10.8,13.3,21.0,310.0,Europe,A,1
MERCEDES-BENZ,AMG E 63 S 4MATIC WAGON,STATION WAGON - MID-SIZE,5.5,8.0,AS7,Z,15.2,11.0,13.3,21.0,310.0,Europe,A,1
FORD,F-150 FFV,PICKUP TRUCK - STANDARD,5.0,8.0,AS6,X,15.4,10.6,13.2,21.0,310.0,America,A,1
TOYOTA,4RUNNER 4WD,SUV - STANDARD,4.0,6.0,AS5,X,14.3,12.0,13.3,21.0,310.0,Asia,A,1
TOYOTA,4RUNNER 4WD (PART-TIME 4WD),SUV - STANDARD,4.0,6.0,AS5,X,14.3,12.0,13.3,21.0,310.0,Asia,A,1
LINCOLN,NAVIGATOR 4X4,SUV - STANDARD,3.5,6.0,AS10,X,14.9,11.3,13.3,21.0,310.0,America,A,1
FORD,F-150 FFV,PICKUP TRUCK - STANDARD,5.0,8.0,AS6,X,15.3,10.6,13.2,21.0,309.0,America,A,1
AUDI,RS 7,MID-SIZE,4.0,8.0,AS8,Z,16.2,9.3,13.1,22.0,309.0,Europe,A,1
CHEVROLET,SILVERADO,PICKUP TRUCK - STANDARD,5.3,8.0,A8,X,15.2,10.7,13.1,22.0,309.0,America,A,1
FORD,MUSTANG CONVERTIBLE,SUBCOMPACT,5.0,8.0,AS6,X,15.5,10.3,13.2,21.0,309.0,America,A,1
GMC,SIERRA,PICKUP TRUCK - STANDARD,5.3,8.0,A8,X,15.2,10.7,13.1,22.0,309.0,America,A,1
CHEVROLET,SILVERADO 4WD FFV,PICKUP TRUCK - STANDARD,5.3,8.0,A6,E,21.0,15.0,18.3,15.0,309.0,America,A,1
GMC,SIERRA 4WD FFV,PICKUP TRUCK - STANDARD,5.3,8.0,A6,E,21.0,15.0,18.3,15.0,309.0,America,A,1
MERCEDES-BENZ,AMG GLC 63 S 4MATIC+,SUV - SMALL,4.0,8.0,A9,Z,15.0,10.9,13.2,21.0,309.0,Europe,A,1
MERCEDES-BENZ,AMG GLC 63 S 4MATIC+ COUPE,SUV - SMALL,4.0,8.0,A9,Z,15.0,10.9,13.2,21.0,309.0,Europe,A,1
AUDI,RS 5 CABRIOLET,SUBCOMPACT,4.2,8.0,A7,Z,15.2,11.3,13.4,21.0,308.0,Europe,A,1
CHRYSLER,300 AWD (MDS),FULL-SIZE,5.7,8.0,A5,X,16.1,10.0,13.4,21.0,308.0,America,A,1
DODGE,CHARGER AWD (MDS),FULL-SIZE,5.7,8.0,A5,X,16.1,10.0,13.4,21.0,308.0,America,A,1
FORD,F-150 4X4,PICKUP TRUCK - STANDARD,3.5,6.0,AS6,X,15.4,11.0,13.4,21.0,308.0,America,A,1
FORD,F-150 FFV 4X4,PICKUP TRUCK - STANDARD,3.7,6.0,A6,X,15.0,11.4,13.4,21.0,308.0,America,A,1
FORD,F-150 FFV 4X4,PICKUP TRUCK - STANDARD,3.7,6.0,AS6,X,15.0,11.4,13.4,21.0,308.0,America,A,1
HONDA,RIDGELINE AWD,PICKUP TRUCK - STANDARD,3.5,6.0,A5,X,15.2,11.3,13.4,21.0,308.0,Asia,A,1
JEEP,WRANGLER UNLIMITED 4X4 (4-DOOR),SUV - SMALL,3.6,6.0,A5,X,14.8,11.7,13.4,21.0,308.0,America,A,1
JEEP,WRANGLER UNLIMITED 4X4 (4-DOOR),SUV - SMALL,3.6,6.0,M6,X,15.0,11.4,13.4,21.0,308.0,America,M,0
MERCEDES-BENZ,CL 63 AMG,COMPACT,5.5,8.0,AS7,Z,15.4,11.0,13.4,21.0,308.0,Europe,A,1
CHEVROLET,CORVETTE Z06,TWO-SEATER,6.2,8.0,M7,Z,15.7,10.6,13.4,21.0,308.0,America,M,0
JAGUAR,XKR COUPE,MINICOMPACT,5.0,8.0,AS6,Z,15.6,10.9,13.4,21.0,308.0,Europe,A,1
JAGUAR,XKR-S COUPE,MINICOMPACT,5.0,8.0,AS6,Z,15.6,10.9,13.4,21.0,308.0,Europe,A,1
